key,value
kuntanumero,org_code
kuntanro,org_code
yhtiö,org_name
yhtiö (T),org_name
kunnan tai kuntayhtymän nimi,org_name
kunnan/-yhtymän nimi,org_name
kunnan nimi,org_name
kunta,org_name
kuntayhtymän nimi,org_name
kunnan/kuntayhtymän nimi,org_name
yhtiö,org_name
kaupungin nimi,org_name
kaupunki,org_name
kunnan y-tunnus,org_bid
tositenumero,doc_id
tosite numero,doc_id
tapahtumanumero,doc_id
tosite,doc_id
tapahtuma,doc_id
tositenro,doc_id
tositteen numero,doc_id
tositteen_numero,doc_id
toimittajan nimi,suppl_name
toimittaja,suppl_name
toimittajanimi,suppl_name
reskontranumero,suppl_name
reskontranro,suppl_name
reskontranro (t),suppl_name
toimittajan y-tunnus,suppl_bid
toimittaja y-tun/sotu,suppl_bid
toimittajan sotu,suppl_bid
toimittaja y-tunnus,suppl_bid
toimittajanumero,suppl_code
toimittajan maakoodi,suppl_land
maa,suppl_land
maakoodi,suppl_land
maatunnus,suppl_land
toimittajan maatunnus,suppl_land
toimittajan maa,suppl_land
tositepäivämäärä,doc_date
tositepaivamaara,doc_date
tositepäivä,doc_date
tositepaiva,doc_date
tositepvm,doc_date
tapaht.pvm,doc_date
pvm,doc_date
laskun päivä,doc_date
laskun päivämäärä,doc_date
laskun_paiva,doc_date
laskun_paivamaara,doc_date
kirjauspäivä,doc_date
kirjauspäivämäärä,doc_date
kirjauspvm,doc_date
kirjaus pvm,doc_date
tapaht.pvm,doc_date
tapahtumapäivä,doc_date
tositepaivamaara,doc_date
tositepaiva,doc_date
paivamaara,doc_date
tapahtumapäivämäärä,doc_date
kirjanpidon tilinumero,account_code
tilinumero,account_code
tilin numero,account_code
pääkirjatili,account_code
tilinro,account_code
tili,account_name
kirjanpidon tili,account_name
tili (t),account_name
tilin nimi,account_name
tilin_nimi,account_name
pääkirjatilin nimi,account_name
palveluluokka,service_code
palvelun numero,service_code
vastuualuetunnus,service_code
palvelun nimi,service_name
vastuualue,service_name
kokonaissumma euroina,price_total
summa,price_total
rivin bruttosumma,price_total
tot eurot,price_total
rivin osuus verollinen,price_total
"eur, brutto",price_total
"€, brutto",price_total
euroa,price_total
bruttosumma,price_total
kokonaissumma_euroina,price_total
laskun summa ilman alv,price_ex_vat
laskun summa ilman alv:tä,price_ex_vat
rivin osuus veroton,price_ex_vat
rivin nettosumma,price_ex_vat
"eur, netto",price_ex_vat
"€, netto",price_ex_vat
nettosumma,price_ex_vat
summa_alv0_euroina,price_ex_vat
rivin osuus vero,price_vat
rivin alv-summa,price_vat
alv määrä euroina,price_vat
"alv, €",price_vat
"alv, eur",price_vat
alv_maara_euroina,price_vat
